text                            lemma                           postag   data_type                                         
------------------------------  ------------------------------  -------  --------------------------------------------------
equals                          equal                           VBZ      boolean                                           
get                             get                             VB       int                                               
hash                            hash                            VB       int                                               
code                            code                            NN       int                                               
length                          length                          NN       int                                               
to                              to                              TO       String                                            
string                          string                          VB       String                                            
get                             get                             VB       Collection of byte                                
bytes                           byte                            NNS      Collection of byte                                
to                              to                              TO       Charset                                           
charset                         charset                         VB       Charset                                           
required                        require                         VBN      Collection of Charset                             
charsets                        charset                         NNS      Collection of Charset                             
sort                            sort                            NN       Collection of File                                
compare                         compare                         VB       int                                               
copy                            copy                            NN       int                                               
copy                            copy                            NN       void                                              
handle                          handle                          VB       boolean                                           
directory                       directory                       NN       boolean                                           
filter                          filter                          NN       Collection of File                                
directory                       directory                       NN       Collection of File                                
contents                        contents                        NNS      Collection of File                                
check                           check                           NN       void                                              
if                              if                              IN       void                                              
cancelled                       cancel                          VBN      void                                              
handle                          handle                          VB       void                                              
walk                            walk                            NN       void                                              
read                            read                            VB       double                                            
swapped                         swap                            VBD      double                                            
double                          double                          JJ       double                                            
swap                            swap                            NN       double                                            
double                          double                          RB       double                                            
read                            read                            VB       float                                             
swapped                         swap                            VBD      float                                             
float                           float                           NN       float                                             
swap                            swap                            NN       float                                             
read                            read                            VB       int                                               
swap                            swap                            NN       int                                               
integer                         integer                         NN       int                                               
read                            read                            VB       long                                              
swapped                         swap                            VBD      long                                              
long                            long                            RB       long                                              
swap                            swap                            NN       long                                              
read                            read                            VB       short                                             
swapped                         swap                            VBD      short                                             
short                           short                           JJ       short                                             
swap                            swap                            NN       short                                             
write                           write                           VB       void                                              
swapped                         swap                            VBD      void                                              
double                          double                          JJ       void                                              
get                             get                             VB       FileCleaningTracker                               
instance                        instance                        NN       FileCleaningTracker                               
exit                            exit                            NN       void                                              
when                            when                            WRB      void                                              
finished                        finish                          VBN      void                                              
track                           track                           NN       void                                              
run                             run                             NN       void                                              
delete                          delete                          VB       boolean                                           
add                             add                             VB       void                                              
tracker                         tracker                         NN       void                                              
do                              do                              VB       boolean                                           
delete                          delete                          VB       void                                              
accept                          accept                          VB       boolean                                           
remove                          remove                          VB       boolean                                           
file                            file                            NN       boolean                                           
filter                          filter                          NN       boolean                                           
get                             get                             VB       Collection of IOFileFilter                        
file                            file                            VB       Collection of IOFileFilter                        
filters                         filter                          NNS      Collection of IOFileFilter                        
set                             set                             VBN      void                                              
file                            file                            NN       void                                              
filters                         filter                          NNS      void                                              
filter                          filter                          NN       T                                                 
to                              to                              TO       Collection of IOFileFilter                        
list                            list                            NN       Collection of IOFileFilter                        
age                             age                             NN       IOFileFilter                                      
file                            file                            NN       IOFileFilter                                      
filter                          filter                          NN       IOFileFilter                                      
and                             and                             CC       IOFileFilter                                      
as                              as                              IN       IOFileFilter                                      
directory                       directory                       NN       IOFileFilter                                      
false                           false                           JJ       IOFileFilter                                      
magic                           magic                           JJ       IOFileFilter                                      
number                          number                          NN       IOFileFilter                                      
make                            make                            VB       IOFileFilter                                      
cvsa                            cvsa                            NN       IOFileFilter                                      
ware                            ware                            NN       IOFileFilter                                      
name                            name                            NN       IOFileFilter                                      
not                             not                             RB       IOFileFilter                                      
file                            file                            VB       IOFileFilter                                      
or                              or                              CC       IOFileFilter                                      
prefix                          prefix                          NN       IOFileFilter                                      
size                            size                            NN       IOFileFilter                                      
suffix                          suffix                          NN       IOFileFilter                                      
true                            true                            JJ       IOFileFilter                                      
is                              be                              VBZ      boolean                                           
extension                       extension                       NN       boolean                                           
wildcard                        wildcard                        JJ       boolean                                           
match                           match                           NN       boolean                                           
index                           index                           NN       int                                               
of                              of                              IN       int                                               
extension                       extension                       NN       int                                               
concat                          concat                          NN       String                                            
do                              do                              VB       String                                            
get                             get                             VB       String                                            
full                            full                            JJ       String                                            
path                            path                            NN       String                                            
normalize                       normalize                       VB       String                                            
remove                          remove                          VB       String                                            
extension                       extension                       NN       String                                            
separators                      separator                       NNS      String                                            
split                           split                           NN       Collection of String                              
on                              on                              IN       Collection of String                              
tokens                          token                           NNS      Collection of String                              
fail                            fail                            VB       void                                              
open                            open                            JJ       Process                                           
process                         process                         NN       Process                                           
perform                         perform                         VB       Collection of String                              
command                         command                         NN       Collection of String                              
free                            free                            JJ       long                                              
space                           space                           NN       long                                              
parse                           parse                           VB       long                                              
bytes                           byte                            NNS      long                                              
content                         content                         JJ       boolean                                           
content                         content                         NN       boolean                                           
wait                            wait                            VB       boolean                                           
for                             for                             IN       boolean                                           
get                             get                             VB       File                                              
file                            file                            NN       File                                              
to                              to                              TO       File                                              
file                            file                            VB       File                                              
open                            open                            JJ       FileInputStream                                   
input                           input                           NN       FileInputStream                                   
stream                          stream                          NN       FileInputStream                                   
open                            open                            JJ       FileOutputStream                                  
output                          output                          NN       FileOutputStream                                  
stream                          stream                          NN       FileOutputStream                                  
byte                            byte                            NN       String                                            
count                           count                           NN       String                                            
decode                          decode                          VB       String                                            
url                             url                             NN       String                                            
read                            read                            VB       String                                            
file                            file                            NN       String                                            
convert                         convert                         VB       Collection of File                                
file                            file                            NN       Collection of File                                
collection                      collection                      NN       Collection of File                                
to                              to                              TO       Collection of File                                
file                            file                            VB       Collection of File                                
array                           array                           NN       Collection of File                                
read                            read                            VB       Collection of byte                                
file                            file                            NN       Collection of byte                                
to                              to                              TO       Collection of byte                                
byte                            byte                            VB       Collection of byte                                
array                           array                           NN       Collection of byte                                
to                              to                              TO       Collection of String                              
suffixes                        suffix                          NNS      Collection of String                              
to                              to                              TO       Collection of URL                                 
url                             url                             NN       Collection of URL                                 
s                               s                               NNS      Collection of URL                                 
verified                        verify                          VBN      Collection of File                                
list                            list                            NN       Collection of File                                
files                           file                            NNS      Collection of File                                
size                            size                            NN       BigInteger                                        
of                              of                              IN       BigInteger                                        
as                              as                              RB       BigInteger                                        
big                             big                             JJ       BigInteger                                        
integer                         integer                         NN       BigInteger                                        
iterate                         iterate                         VB       Collection of File                                
read                            read                            NN       Collection of String                              
lines                           line                            NNS      Collection of String                              
checksum                        checksum                        NN       Checksum                                          
checksum                        checksum                        NN       long                                              
crc32                           crc32                           NN       long                                              
copy                            copy                            NN       long                                              
file                            file                            NN       long                                              
size                            size                            NN       long                                              
of                              of                              IN       long                                              
line                            line                            NN       LineIterator                                      
iterator                        iterator                        NN       LineIterator                                      
set                             set                             VBN      IOFileFilter                                      
up                              up                              RP       IOFileFilter                                      
effective                       effective                       JJ       IOFileFilter                                      
dir                             dir                             NN       IOFileFilter                                      
clean                           clean                           JJ       void                                              
directory                       directory                       NN       void                                              
do                              do                              VB       void                                              
copy                            copy                            VB       void                                              
force                           force                           NN       void                                              
delete                          delete                          VBP      void                                              
inner                           inner                           JJ       void                                              
list                            list                            NN       void                                              
files                           file                            NNS      void                                              
move                            move                            NN       void                                              
touch                           touch                           NN       void                                              
validate                        validate                        VB       void                                              
dump                            dump                            NN       StringBuilder                                     
dump                            dump                            NN       void                                              
after                           after                           IN       void                                              
read                            read                            NN       void                                              
close                           close                           RB       void                                              
finalize                        finalize                        VB       void                                              
has                             have                            VBZ      boolean                                           
bom                             bom                             NN       boolean                                           
matches                         match                           NNS      boolean                                           
skip                            skip                            VB       long                                              
find                            find                            VB       ByteOrderMark                                     
mark                            mark                            NN       void                                              
reset                           reset                           VB       void                                              
mark                            mark                            NN       boolean                                           
supported                       support                         VBD      boolean                                           
available                       available                       JJ       int                                               
fill                            fill                            NN       void                                              
buffer                          buffer                          NN       void                                              
resolve                         resolve                         VB       Collection of Class                               
class                           class                           NN       Collection of Class                               
resolve                         resolve                         NN       Collection of Class                               
proxy                           proxy                           NN       Collection of Class                               
reset                           reset                           VB       int                                               
count                           count                           NN       int                                               
get                             get                             VB       long                                              
byte                            byte                            NN       long                                              
count                           count                           NN       long                                              
reset                           reset                           VB       long                                              
bind                            bind                            VB       InputStream                                       
stream                          stream                          NN       InputStream                                       
do                              do                              VB       int                                               
end                             end                             VB       int                                               
process                         process                         NN       int                                               
byte                            byte                            NN       int                                               
process                         process                         NN       void                                              
bytes                           byte                            NNS      void                                              
before                          before                          IN       void                                              
ready                           ready                           JJ       boolean                                           
roll                            roll                            NN       FilePart                                          
over                            over                            IN       FilePart                                          
create                          create                          VB       void                                              
left                            leave                           VBN      void                                              
over                            over                            RP       void                                              
read                            read                            VB       boolean                                           
boolean                         boolean                         NN       boolean                                           
read                            read                            VB       byte                                              
byte                            byte                            NN       byte                                              
read                            read                            VB       char                                              
char                            char                            NN       char                                              
skip                            skip                            VB       int                                               
bytes                           byte                            NNS      int                                               
read                            read                            VB       void                                              
fully                           fully                           RB       void                                              
throw                           throw                           VB       void                                              
read                            read                            NN       long                                              
lines                           line                            NNS      long                                              
create                          create                          VB       Tailer                                            
stop                            stop                            VB       void                                              
end                             end                             NN       void                                              
of                              of                              IN       void                                              
init                            init                            NN       void                                              
eof                             eof                             NN       int                                               
game                            game                            NN       int                                               
read                            read                            VBN      int                                               
with                            with                            IN       int                                               
update                          update                          VBP      int                                               
calculate                       calculate                       VB       String                                            
http                            http                            JJ       String                                            
encoding                        encoding                        NN       String                                            
check                           check                           NN       boolean                                           
ends                            end                             VBZ      boolean                                           
with                            with                            IN       boolean                                           
check                           check                           NN       int                                               
read                            read                            VB       Object                                            
resolve                         resolve                         NN       Object                                            
for                             for                             IN       IOCase                                            
name                            name                            NN       IOCase                                            
buffer                          buffer                          NN       BufferedInputStream                               
buffer                          buffer                          NN       BufferedOutputStream                              
buffer                          buffer                          NN       BufferedReader                                    
to                              to                              TO       BufferedReader                                    
buffered                        buffer                          VBN      BufferedReader                                    
reader                          reader                          NN       BufferedReader                                    
buffer                          buffer                          NN       BufferedWriter                                    
to                              to                              TO       InputStream                                       
buffered                        buffer                          VBN      InputStream                                       
input                           input                           NN       InputStream                                       
to                              to                              TO       Collection of char                                
char                            char                            VB       Collection of char                                
array                           array                           NN       Collection of char                                
skip                            skip                            VB       void                                              
exists                          exist                           VBZ      boolean                                           
create                          create                          VB       File                                              
symbolic                        symbolic                        JJ       File                                              
link                            link                            NN       File                                              
read                            read                            VB       File                                              
next                            next                            IN       String                                            
next                            next                            JJ       String                                            
line                            line                            NN       String                                            
remove                          remove                          VB       void                                              
on                              on                              IN       void                                              
start                           start                           NN       void                                              
do                              do                              VB       Collection of FileEntry                           
list                            list                            NN       Collection of FileEntry                           
files                           file                            NNS      Collection of FileEntry                           
create                          create                          VB       FileEntry                                         
file                            file                            NN       FileEntry                                         
entry                           entry                           NN       FileEntry                                         
destroy                         destroy                         VB       void                                              
initialize                      initialize                      VB       void                                              
refresh                         refresh                         VB       boolean                                           
get                             get                             VB       Collection of FileEntry                           
children                        child                           NNS      Collection of FileEntry                           
new                             new                             JJ       FileEntry                                         
child                           child                           NN       FileEntry                                         
instance                        instance                        NN       FileEntry                                         
flush                           flush                           NN       void                                              
size                            size                            NN       int                                               
write                           write                           VB       int                                               
need                            need                            VB       void                                              
new                             new                             JJ       void                                              
threshold                       threshold                       NN       void                                              
reached                         reach                           VBD      void                                              
bind                            bind                            VB       OutputStream                                      
stream                          stream                          NN       OutputStream                                      
init                            init                            NN       Writer                                            
writer                          writer                          NN       Writer                                            
test                            test                            NN       void                                              
lock                            lock                            NN       void                                              
dir                             dir                             NN       void                                              
append                          append                          IN       Writer                                            
flush                           flush                           JJ       void                                              
output                          output                          NN       void                                              
detect                          detect                          VB       void                                              
encoding                        encode                          VBG      void                                              
accept                          accept                          VB       ValidatingObjectInputStream                       
reject                          reject                          VBP      ValidatingObjectInputStream                       
invalid                         invalid                         JJ       void                                              
class                           class                           NN       void                                              
name                            name                            NN       void                                              
found                           find                            VBD      void                                              
get                             get                             VB       IOException                                       
cause                           cause                           VB       IOException                                       
start                           start                           NN       Thread                                            
sleep                           sleep                           NN       void                                              
charset                         charset                         NN       void                                              
constant                        constant                        JJ       void                                              
errors                          error                           NNS      void                                              
get                             get                             VB       void                                              
tear                            tear                            VB       void                                              
down                            down                            RP       void                                              
constructor                     constructor                     NN       void                                              
array                           array                           NN       void                                              
null                            null                            NN       void                                              
start                           start                           VB       void                                              
reader                          reader                          NN       void                                              
find                            find                            VB       Collection of File                                
find                            find                            VB       Collection of String                              
directories                     directory                       NNS      Collection of File                                
only                            only                            RB       Collection of File                                
create                          create                          VB       IOFileFilter                                      
find                            find                            VB       List                                              
directories                     directory                       NNS      List                                              
only                            only                            RB       List                                              
files                           file                            NNS      List                                              
new                             new                             JJ       FileCleaningTracker                               
