id     identifier                      simplified_identifier           lemma                           postag              
-----  ------------------------------  ------------------------------  ------------------------------  --------------------
1      boolean                         0D Collection of boolean        0d collection of boolean        NN NN IN NN         
2      java.lang.Object                0D Collection of Object         0d collection of Object         NN NN IN NNP        
3      int                             0D Collection of int            0d collection of int            NN NN IN NN         
4      java.lang.String                0D Collection of String         0d collection of String         NN NN IN NNP        
5      byte[]                          1D Array of byte                1d array of byte                NN NN IN NN         
6      java.nio.charset.Charset        0D Collection of Charset        0d collection of Charset        NN NN IN NNP        
7      java.util.SortedMap<java.lang.  1D Map of Charset               1d map of Charset               NN NN IN NNP        
8      java.io.File[]                  1D Array of File                1d array of file                NN NN IN NN         
9      java.util.List<java.io.File>    1D Collection of File           1d collection of file           NN NN IN NN         
10     java.io.File                    0D Collection of File           0d collection of file           NN NN IN NN         
11     java.io.InputStream             0D Collection of InputStream    0d collection of InputStream    NN NN IN NNP        
12     java.io.OutputStream            0D Collection of OutputStream   0d collection of OutputStream   NN NN IN NNP        
13     java.io.Reader                  0D Collection of Reader         0d collection of Reader         NN NN IN NNP        
14     java.io.Writer                  0D Collection of Writer         0d collection of writer         NN NN IN NN         
15     void                            0D Collection of void           0d collection of void           NN NN IN NN         
16     java.util.Collection<T>         1D Collection of T              1d collection of t              NN NN IN NN         
17     org.apache.commons.io.Director  0D Collection of CancelExcepti  0d collection of cancelexcepti  NN NN IN NN         
18     double                          0D Collection of double         0d collection of double         NN NN IN JJ         
19     float                           0D Collection of float          0d collection of float          NN NN IN NN         
20     long                            0D Collection of long           0d collection of long           NN NN IN JJ         
21     short                           0D Collection of short          0d collection of short          NN NN IN JJ         
22     org.apache.commons.io.FileClea  0D Collection of FileCleaningT  0d collection of FileCleaningT  NN NN IN NNP        
23     org.apache.commons.io.FileDele  0D Collection of FileDeleteStr  0d collection of FileDeleteStr  NN NN IN NNP        
24     org.apache.commons.io.filefilt  0D Collection of IOFileFilter   0d collection of iofilefilter   NN NN IN NN         
25     java.util.List<org.apache.comm  1D Collection of IOFileFilter   1d collection of iofilefilter   NN NN IN NN         
26     T                               0D Collection of T              0d collection of t              NN NN IN NN         
27     java.lang.Iterable<java.io.Fil  1D Collection of File           1d collection of file           NN NN IN NN         
28     org.apache.commons.io.filefilt  1D Array of IOFileFilter        1d array of iofilefilter        NN NN IN NN         
29     java.util.Set<java.io.File>     1D Collection of File           1d collection of file           NN NN IN NN         
30     java.util.Date                  0D Collection of Date           0d collection of date           NN NN IN NN         
31     java.io.FileFilter              0D Collection of FileFilter     0d collection of FileFilter     NN NN IN NNP        
32     java.io.FilenameFilter          0D Collection of FilenameFilte  0d collection of FilenameFilte  NN NN IN NNP        
33     org.apache.commons.io.IOCase    0D Collection of IOCase         0d collection of iocase         NN NN IN NN         
34     java.lang.String[]              1D Array of String              1d array of String              NN NN IN NNP        
35     java.util.Collection<java.lang  1D Collection of String         1d collection of String         NN NN IN NNP        
36     char                            0D Collection of char           0d collection of char           NN NN IN NN         
37     java.lang.Process               0D Collection of Process        0d collection of process        NN NN IN VB         
38     java.util.List<java.lang.Strin  1D Collection of String         1d collection of String         NN NN IN NNP        
39     java.net.URL                    0D Collection of URL            0d collection of url            NN NN IN NN         
40     java.io.FileInputStream         0D Collection of FileInputStre  0d collection of FileInputStre  NN NN IN NNP        
41     java.io.FileOutputStream        0D Collection of FileOutputStr  0d collection of FileOutputStr  NN NN IN NNP        
42     java.math.BigInteger            0D Collection of BigInteger     0d collection of BigInteger     NN NN IN NNP        
43     java.util.Collection<java.io.F  1D Collection of File           1d collection of file           NN NN IN NN         
44     java.net.URL[]                  1D Array of URL                 1d array of url                 NN NN IN NN         
45     java.util.Iterator<java.io.Fil  1D Collection of File           1d collection of file           NN NN IN NN         
46     java.util.zip.Checksum          0D Collection of Checksum       0d collection of Checksum       NN NN IN NNP        
47     org.apache.commons.io.LineIter  0D Collection of LineIterator   0d collection of LineIterator   NN NN IN NNP        
48     java.lang.CharSequence          0D Collection of CharSequence   0d collection of charsequence   NN NN IN NN         
49     java.util.Collection<?>         1D Collection of                1d collection of                NN NN IN            
50     java.lang.StringBuilder         0D Collection of StringBuilder  0d collection of StringBuilder  NN NN IN NNP        
51     byte                            0D Collection of byte           0d collection of byte           NN NN IN NN         
52     org.apache.commons.io.ByteOrde  0D Collection of ByteOrderMark  0d collection of ByteOrderMark  NN NN IN NNP        
53     char[]                          1D Array of char                1d array of char                NN NN IN NN         
54     java.lang.Class<?>              1D Collection of                1d collection of                NN NN IN            
55     java.io.ObjectStreamClass       0D Collection of ObjectStreamC  0d collection of ObjectStreamC  NN NN IN NNP        
56     java.io.IOException             0D Collection of IOException    0d collection of ioexception    NN NN IN NN         
57     java.nio.CharBuffer             0D Collection of CharBuffer     0d collection of charbuffer     NN NN IN NN         
58     org.apache.commons.io.input.Re  0D Collection of FilePart       0d collection of FilePart       NN NN IN NNP        
59     java.lang.Throwable             0D Collection of Throwable      0d collection of Throwable      NN NN IN NNP        
60     java.io.RandomAccessFile        0D Collection of RandomAccessF  0d collection of RandomAccessF  NN NN IN NNP        
61     org.apache.commons.io.input.Ta  0D Collection of Tailer         0d collection of Tailer         NN NN IN NNP        
62     org.apache.commons.io.input.Ta  0D Collection of TailerListene  0d collection of TailerListene  NN NN IN NNP        
63     java.lang.Exception             0D Collection of Exception      0d collection of exception      NN NN IN NN         
64     org.apache.commons.io.input.BO  0D Collection of BOMInputStrea  0d collection of bominputstrea  NN NN IN NN         
65     org.apache.commons.io.input.Xm  0D Collection of XmlStreamRead  0d collection of xmlstreamread  NN NN IN NN         
66     java.nio.channels.ReadableByte  0D Collection of ReadableByteC  0d collection of readablebytec  NN NN IN NN         
67     java.nio.ByteBuffer             0D Collection of ByteBuffer     0d collection of bytebuffer     NN NN IN NN         
68     java.io.BufferedInputStream     0D Collection of BufferedInput  0d collection of BufferedInput  NN NN IN NNP        
69     java.io.BufferedOutputStream    0D Collection of BufferedOutpu  0d collection of BufferedOutpu  NN NN IN NNP        
70     java.io.BufferedReader          0D Collection of BufferedReade  0d collection of BufferedReade  NN NN IN NNP        
71     java.io.BufferedWriter          0D Collection of BufferedWrite  0d collection of BufferedWrite  NN NN IN NNP        
72     java.net.URI                    0D Collection of URI            0d collection of URI            NN NN IN NNP        
73     java.net.URLConnection          0D Collection of URLConnection  0d collection of urlconnection  NN NN IN NN         
74     java.io.Closeable               0D Collection of Closeable      0d collection of closeable      NN NN IN JJ         
75     java.io.Closeable[]             1D Array of Closeable           1d array of closeable           NN NN IN JJ         
76     java.net.ServerSocket           0D Collection of ServerSocket   0d collection of ServerSocket   NN NN IN NNP        
77     java.net.Socket                 0D Collection of Socket         0d collection of socket         NN NN IN NN         
78     java.nio.channels.Selector      0D Collection of Selector       0d collection of selector       NN NN IN NN         
79     java.lang.StringBuffer          0D Collection of StringBuffer   0d collection of StringBuffer   NN NN IN NNP        
80     org.apache.commons.io.monitor.  0D Collection of FileAlteratio  0d collection of FileAlteratio  NN NN IN NNP        
81     org.apache.commons.io.monitor.  1D Array of FileEntry           1d array of FileEntry           NN NN IN NNP        
82     org.apache.commons.io.monitor.  0D Collection of FileEntry      0d collection of FileEntry      NN NN IN NNP        
83     org.apache.commons.io.monitor.  0D Collection of FileAlteratio  0d collection of FileAlteratio  NN NN IN NNP        
84     org.apache.commons.io.serializ  0D Collection of ValidatingObj  0d collection of ValidatingObj  NN NN IN NNP        
85     java.lang.Class<?>[]            1D Array of Class               1d array of class               NN NN IN NN         
86     java.util.regex.Pattern         0D Collection of Pattern        0d collection of pattern        NN NN IN NN         
87     org.apache.commons.io.serializ  0D Collection of ClassNameMatc  0d collection of ClassNameMatc  NN NN IN NNP        
88     java.lang.Thread                0D Collection of Thread         0d collection of Thread         NN NN IN NNP        
89     org.apache.commons.io.input.De  0D Collection of DemuxInputStr  0d collection of DemuxInputStr  NN NN IN NNP        
90     org.apache.commons.io.output.D  0D Collection of DemuxOutputSt  0d collection of DemuxOutputSt  NN NN IN NNP        
91     org.apache.commons.io.CancelEx  0D Collection of CancelExcepti  0d collection of cancelexcepti  NN NN IN NN         
92     java.util.List                  0D Collection of List           0d collection of list           NN NN IN NN         
93     java.util.Collection            0D Collection of Collection     0d collection of Collection     NN NN IN NNP        
94     java.util.List<boolean[]>       1D Array of Listboolean         1d array of listboolean         NN NN IN NN         
95     java.util.List<java.lang.Boole  1D Collection of Boolean        1d collection of Boolean        NN NN IN NNP        
96     java.util.List<java.util.List<  2D Collection of IOFileFilter   2d collection of iofilefilter   NN NN IN NN         
97     org.apache.commons.io.filefilt  0D Collection of ConditionalFi  0d collection of ConditionalFi  NN NN IN NNP        
98     org.apache.commons.io.filefilt  1D Array of TesterFalseFileFil  1d array of TesterFalseFileFil  NN NN IN NNP        
99     boolean[]                       1D Array of boolean             1d array of boolean             NN NN IN NN         
100    org.apache.commons.io.filefilt  1D Array of TesterTrueFileFilt  1d array of TesterTrueFileFilt  NN NN IN NNP        
101    java.util.Set<java.lang.String  1D Collection of String         1d collection of String         NN NN IN NNP        
102    org.apache.commons.io.input.co  0D Collection of XmlStreamRead  0d collection of xmlstreamread  NN NN IN NN         
103    java.util.Collection<java.lang  1D Array of Integer             1d array of integer             NN NN IN NN         
104    org.apache.commons.io.input.Re  0D Collection of ReversedLines  0d collection of ReversedLines  NN NN IN NNP        
105    java.util.Collection<java.lang  1D Array of Object              1d array of Object              NN NN IN NNP        
106    org.apache.commons.io.output.B  0D Collection of ByteArrayOutp  0d collection of ByteArrayOutp  NN NN IN NNP        
107    java.io.ByteArrayOutputStream   0D Collection of ByteArrayOutp  0d collection of ByteArrayOutp  NN NN IN NNP        
108    int[]                           1D Array of int                 1d array of int                 NN NN IN NN         
109    java.util.concurrent.atomic.At  0D Collection of AtomicInteger  0d collection of AtomicInteger  NN NN IN NNP        
110    java.io.OutputStreamWriter      0D Collection of OutputStreamW  0d collection of OutputStreamW  NN NN IN NNP        
111    org.apache.commons.io.output.F  0D Collection of FileWriterWit  0d collection of filewriterwit  NN NN IN NN         
112    java.io.FileWriter              0D Collection of FileWriter     0d collection of FileWriter     NN NN IN NNP        
113    java.nio.channels.spi.Selector  0D Collection of SelectorProvi  0d collection of SelectorProvi  NN NN IN NNP        
114    java.util.Set<java.nio.channel  1D Collection of SelectionKey   1d collection of SelectionKey   NN NN IN NNP        
115    java.io.ObjectInputStream       0D Collection of ObjectInputSt  0d collection of ObjectInputSt  NN NN IN NNP        
116    org.jbpm.process.audit.Abstrac  0D Collection of AbstractAudit  0d collection of AbstractAudit  NN NN IN NNP        
117    org.jbpm.process.audit.AuditLo  0D Collection of Type           0d collection of type           NN NN IN NN         
118    org.kie.api.runtime.KieSession  0D Collection of KieSession     0d collection of KieSession     NN NN IN NNP        
119    java.util.Map<java.lang.String  1D Map of Object                1d map of Object                NN NN IN NNP        
120    javax.jms.ConnectionFactory     0D Collection of ConnectionFac  0d collection of ConnectionFac  NN NN IN NNP        
121    javax.jms.Queue                 0D Collection of Queue          0d collection of Queue          NN NN IN NNP        
122    org.kie.api.runtime.Environmen  0D Collection of Environment    0d collection of environment    NN NN IN NN         
123    javax.persistence.criteria.Pre  0D Collection of Predicate      0d collection of predicate      NN NN IN NN         
124    org.jbpm.process.audit.Criteri  1D Collection of Q              1d collection of Q              NN NN IN NNP        
125    javax.persistence.criteria.Cri  0D Collection of CriteriaBuild  0d collection of CriteriaBuild  NN NN IN NNP        
126    org.jbpm.query.jpa.data.QueryC  0D Collection of QueryCriteria  0d collection of QueryCriteria  NN NN IN NNP        
127    org.jbpm.process.audit.Root<T>  1D Collection of T              1d collection of t              NN NN IN NN         
128    org.jbpm.process.audit.Criteri  1D Collection of R              1d collection of r              NN NN IN NN         
129    java.lang.Class                 0D Collection of Class          0d collection of class          NN NN IN NN         
130    org.jbpm.query.jpa.data.QueryW  0D Collection of QueryWhere     0d collection of QueryWhere     NN NN IN NNP        
131    java.util.List<T>               1D Collection of T              1d collection of t              NN NN IN NN         
132    org.jbpm.process.audit.Criteri  1D Collection of T              1d collection of t              NN NN IN NN         
133    javax.persistence.EntityManage  0D Collection of EntityManager  0d collection of EntityManager  NN NN IN NNP        
134    org.kie.internal.command.Conte  0D Collection of Context        0d collection of Context        NN NN IN NNP        
135    java.util.List<org.kie.api.run  1D Collection of NodeInstanceL  1d collection of NodeInstanceL  NN NN IN NNP        
136    java.util.List<org.kie.api.run  1D Collection of ProcessInstan  1d collection of ProcessInstan  NN NN IN NNP        
137    java.util.List<org.kie.api.run  1D Collection of VariableInsta  1d collection of VariableInsta  NN NN IN NNP        
138    java.lang.Void                  0D Collection of Void           0d collection of void           NN NN IN NN         
139    java.util.List<org.jbpm.proces  1D Collection of ProcessInstan  1d collection of ProcessInstan  NN NN IN NNP        
140    java.util.List<org.jbpm.proces  1D Collection of NodeInstanceL  1d collection of NodeInstanceL  NN NN IN NNP        
141    org.jbpm.process.audit.Process  0D Collection of ProcessInstan  0d collection of ProcessInstan  NN NN IN NNP        
142    java.util.List<org.jbpm.proces  1D Collection of VariableInsta  1d collection of VariableInsta  NN NN IN NNP        
143    java.util.List<R>               1D Collection of R              1d collection of r              NN NN IN NN         
