text                                                                              lemma                                                                             postag                                              data_type                                         
--------------------------------------------------------------------------------  --------------------------------------------------------------------------------  --------------------------------------------------  --------------------------------------------------
equals                                                                            equal                                                                             VBZ                                                 boolean                                           
get                                                                               get                                                                               VB                                                  int                                               
hash code                                                                         hash code                                                                         VB NN                                               int                                               
length                                                                            length                                                                            NN                                                  int                                               
to string                                                                         to string                                                                         TO VB                                               String                                            
get bytes                                                                         get byte                                                                          VB NNS                                              1D Array of byte                                  
to charset                                                                        to charset                                                                        TO VB                                               Charset                                           
required charsets                                                                 require charset                                                                   VBN NNS                                             1D Map of Charset                                 
sort                                                                              sort                                                                              NN                                                  1D Array of File                                  
sort                                                                              sort                                                                              NN                                                  1D Collection of File                             
compare                                                                           compare                                                                           VB                                                  int                                               
get type                                                                          get type                                                                          VB NN                                               int                                               
copy                                                                              copy                                                                              NN                                                  int                                               
copy                                                                              copy                                                                              NN                                                  void                                              
handle directory                                                                  handle directory                                                                  VB NN                                               boolean                                           
handle is cancelled                                                               handle be cancel                                                                  VB VBZ VBN                                          boolean                                           
filter directory contents                                                         filter directory contents                                                         NN NN NNS                                           1D Array of File                                  
check if cancelled                                                                check if cancel                                                                   NN IN VBN                                           void                                              
handle cancelled                                                                  handle cancel                                                                     VB VBN                                              void                                              
handle directory end                                                              handle directory end                                                              VB NN NN                                            void                                              
handle directory start                                                            handle directory start                                                            VB NN NN                                            void                                              
handle end                                                                        handle end                                                                        VB NN                                               void                                              
handle file                                                                       handle file                                                                       VB NN                                               void                                              
handle restricted                                                                 handle restricted                                                                 VB JJ                                               void                                              
handle start                                                                      handle start                                                                      VB NN                                               void                                              
walk                                                                              walk                                                                              NN                                                  void                                              
read swapped double                                                               read swap double                                                                  VB VBD JJ                                           double                                            
swap double                                                                       swap double                                                                       NN RB                                               double                                            
read swapped float                                                                read swap float                                                                   VB VBD NN                                           float                                             
swap float                                                                        swap float                                                                        NN NN                                               float                                             
read                                                                              read                                                                              VB                                                  int                                               
read swapped integer                                                              read swap integer                                                                 VB VBD NN                                           int                                               
read swapped unsigned short                                                       read swap unsigned short                                                          VB VBD JJ JJ                                        int                                               
swap integer                                                                      swap integer                                                                      NN NN                                               int                                               
read swapped long                                                                 read swap long                                                                    VB VBD RB                                           long                                              
read swapped unsigned integer                                                     read swap unsigned integer                                                        VB VBD JJ NN                                        long                                              
swap long                                                                         swap long                                                                         NN RB                                               long                                              
read swapped short                                                                read swap short                                                                   VB VBD JJ                                           short                                             
swap short                                                                        swap short                                                                        NN JJ                                               short                                             
write swapped double                                                              write swap double                                                                 VB VBD JJ                                           void                                              
write swapped float                                                               write swap float                                                                  VB VBD NN                                           void                                              
write swapped integer                                                             write swap integer                                                                VB VBD NN                                           void                                              
write swapped long                                                                write swap long                                                                   VB VBD RB                                           void                                              
write swapped short                                                               write swap short                                                                  VB VBD JJ                                           void                                              
get track count                                                                   get track count                                                                   VB NN NN                                            int                                               
get instance                                                                      get instance                                                                      VB NN                                               FileCleaningTracker                               
exit when finished                                                                exit when finish                                                                  NN WRB VBN                                          void                                              
track                                                                             track                                                                             NN                                                  void                                              
run                                                                               run                                                                               NN                                                  void                                              
delete                                                                            delete                                                                            VB                                                  boolean                                           
add tracker                                                                       add tracker                                                                       VB NN                                               void                                              
do delete                                                                         do delete                                                                         VB VB                                               boolean                                           
delete quietly                                                                    delete quietly                                                                    VB RB                                               boolean                                           
delete                                                                            delete                                                                            VB                                                  void                                              
accept                                                                            accept                                                                            VB                                                  boolean                                           
remove file filter                                                                remove file filter                                                                VB NN NN                                            boolean                                           
get file filters                                                                  get file filter                                                                   VB VB NNS                                           1D Collection of IOFileFilter                     
add file filter                                                                   add file filter                                                                   VB NN NN                                            void                                              
set file filters                                                                  set file filter                                                                   VBN NN NNS                                          void                                              
filter                                                                            filter                                                                            NN                                                  T                                                 
filter                                                                            filter                                                                            NN                                                  1D Array of File                                  
filter list                                                                       filter list                                                                       NN NN                                               1D Collection of File                             
to list                                                                           to list                                                                           TO NN                                               1D Collection of IOFileFilter                     
filter set                                                                        filter set                                                                        NN NN                                               1D Collection of File                             
age file filter                                                                   age file filter                                                                   NN NN NN                                            IOFileFilter                                      
and                                                                               and                                                                               CC                                                  IOFileFilter                                      
and file filter                                                                   and file filter                                                                   CC VB NN                                            IOFileFilter                                      
as file filter                                                                    as file filter                                                                    IN NN NN                                            IOFileFilter                                      
directory file filter                                                             directory file filter                                                             NN NN NN                                            IOFileFilter                                      
false file filter                                                                 false file filter                                                                 JJ NN NN                                            IOFileFilter                                      
file file filter                                                                  file file filter                                                                  NN NN NN                                            IOFileFilter                                      
magic number file filter                                                          magic number file filter                                                          JJ NN NN NN                                         IOFileFilter                                      
make cvsa ware                                                                    make cvsa ware                                                                    VB NN NN                                            IOFileFilter                                      
make directory only                                                               make directory only                                                               VB NN RB                                            IOFileFilter                                      
make file only                                                                    make file only                                                                    VB NN RB                                            IOFileFilter                                      
make svna ware                                                                    make svna ware                                                                    VB NN NN                                            IOFileFilter                                      
name file filter                                                                  name file filter                                                                  NN NN NN                                            IOFileFilter                                      
not file filter                                                                   not file filter                                                                   RB VB NN                                            IOFileFilter                                      
or                                                                                or                                                                                CC                                                  IOFileFilter                                      
or file filter                                                                    or file filter                                                                    CC VB NN                                            IOFileFilter                                      
prefix file filter                                                                prefix file filter                                                                NN NN NN                                            IOFileFilter                                      
size file filter                                                                  size file filter                                                                  NN NN NN                                            IOFileFilter                                      
size range file filter                                                            size range file filter                                                            NN NN NN NN                                         IOFileFilter                                      
suffix file filter                                                                suffix file filter                                                                NN NN NN                                            IOFileFilter                                      
true file filter                                                                  true file filter                                                                  JJ NN NN                                            IOFileFilter                                      
directory contains                                                                directory contain                                                                 NN VBZ                                              boolean                                           
equals normalized                                                                 equal normalize                                                                   VBZ VBN                                             boolean                                           
equals normalized on system                                                       equal normalize on system                                                         VBZ VBN IN NN                                       boolean                                           
equals on system                                                                  equal on system                                                                   VBZ IN NN                                           boolean                                           
is extension                                                                      be extension                                                                      VBZ NN                                              boolean                                           
is separator                                                                      be separator                                                                      VBZ NN                                              boolean                                           
is system windows                                                                 be system window                                                                  VBZ NN NNS                                          boolean                                           
wildcard match                                                                    wildcard match                                                                    JJ NN                                               boolean                                           
wildcard match on system                                                          wildcard match on system                                                          JJ NN IN NN                                         boolean                                           
get prefix length                                                                 get prefix length                                                                 VB NN NN                                            int                                               
index of extension                                                                index of extension                                                                NN IN NN                                            int                                               
index of last separator                                                           index of last separator                                                           NN IN JJ NN                                         int                                               
concat                                                                            concat                                                                            NN                                                  String                                            
do get full path                                                                  do get full path                                                                  VB VB JJ NN                                         String                                            
do get path                                                                       do get path                                                                       VB VB NN                                            String                                            
do normalize                                                                      do normalize                                                                      VB VB                                               String                                            
get base name                                                                     get base name                                                                     VB NN NN                                            String                                            
get extension                                                                     get extension                                                                     VB NN                                               String                                            
get full path                                                                     get full path                                                                     VB JJ NN                                            String                                            
get full path no end separator                                                    get full path no end separator                                                    VB JJ NN DT NN NN                                   String                                            
get name                                                                          get name                                                                          VB NN                                               String                                            
get path                                                                          get path                                                                          VB NN                                               String                                            
get path no end separator                                                         get path no end separator                                                         VB NN DT NN NN                                      String                                            
get prefix                                                                        get prefix                                                                        VB NN                                               String                                            
normalize                                                                         normalize                                                                         VB                                                  String                                            
normalize no end separator                                                        normalize no end separator                                                        VB DT NN NN                                         String                                            
remove extension                                                                  remove extension                                                                  VB NN                                               String                                            
separators to system                                                              separator to system                                                               NNS TO NN                                           String                                            
separators to unix                                                                separator to unix                                                                 NNS TO VB                                           String                                            
separators to windows                                                             separator to window                                                               NNS TO NNS                                          String                                            
split on tokens                                                                   split on token                                                                    NN IN NNS                                           1D Array of String                                
fail if null byte present                                                         fail if null byte present                                                         VB IN JJ NN JJ                                      void                                              
open process                                                                      open process                                                                      JJ NN                                               Process                                           
perform command                                                                   perform command                                                                   VB NN                                               1D Collection of String                           
free space                                                                        free space                                                                        JJ NN                                               long                                              
free space kb                                                                     free space kb                                                                     JJ NN NN                                            long                                              
free space os                                                                     free space os                                                                     JJ NN NNS                                           long                                              
free space unix                                                                   free space unix                                                                   JJ NN IN                                            long                                              
free space windows                                                                free space window                                                                 JJ NN NNS                                           long                                              
parse bytes                                                                       parse byte                                                                        VB NNS                                              long                                              
parse dir                                                                         parse dir                                                                         VB NN                                               long                                              
content equals                                                                    content equal                                                                     JJ VBZ                                              boolean                                           
content equals ignore eol                                                         content equal ignore eol                                                          NN VBZ VB NN                                        boolean                                           
is broken symlink                                                                 be break symlink                                                                  VBZ VBN NN                                          boolean                                           
is file newer                                                                     be file newer                                                                     VBZ NN JJR                                          boolean                                           
is file older                                                                     be file older                                                                     VBZ NN JJR                                          boolean                                           
is symlink                                                                        be symlink                                                                        VBZ JJ                                              boolean                                           
wait for                                                                          wait for                                                                          VB IN                                               boolean                                           
get file                                                                          get file                                                                          VB NN                                               File                                              
get temp directory                                                                get temp directory                                                                VB JJ NN                                            File                                              
get user directory                                                                get user directory                                                                VB NN NN                                            File                                              
to file                                                                           to file                                                                           TO VB                                               File                                              
open input stream                                                                 open input stream                                                                 JJ NN NN                                            FileInputStream                                   
open output stream                                                                open output stream                                                                JJ NN NN                                            FileOutputStream                                  
byte count to display size                                                        byte count to display size                                                        NN NN TO VB NN                                      String                                            
decode url                                                                        decode url                                                                        VB NN                                               String                                            
get temp directory path                                                           get temp directory path                                                           VB JJ NN NN                                         String                                            
get user directory path                                                           get user directory path                                                           VB NN NN NN                                         String                                            
read file to string                                                               read file to string                                                               VB NN TO NN                                         String                                            
convert file collection to file array                                             convert file collection to file array                                             VB NN NN TO VB NN                                   1D Array of File                                  
read file to byte array                                                           read file to byte array                                                           VB NN TO VB NN                                      1D Array of byte                                  
to files                                                                          to file                                                                           TO NNS                                              1D Array of File                                  
to suffixes                                                                       to suffix                                                                         TO NNS                                              1D Array of String                                
to url s                                                                          to url s                                                                          TO NN NNS                                           1D Array of URL                                   
verified list files                                                               verify list file                                                                  VBN NN NNS                                          1D Array of File                                  
size of as big integer                                                            size of as big integer                                                            NN IN RB JJ NN                                      BigInteger                                        
size of big0                                                                      size of big0                                                                      NN IN NN                                            BigInteger                                        
size of directory as big integer                                                  size of directory as big integer                                                  NN IN NN IN JJ NN                                   BigInteger                                        
size of directory big0                                                            size of directory big0                                                            NN IN NN NN                                         BigInteger                                        
list files                                                                        list file                                                                         NN NNS                                              1D Collection of File                             
list files and dirs                                                               list file and dir                                                                 NN NNS CC NNS                                       1D Collection of File                             
iterate files                                                                     iterate file                                                                      VB NNS                                              1D Collection of File                             
iterate files and dirs                                                            iterate file and dir                                                              VB NNS CC NNS                                       1D Collection of File                             
read lines                                                                        read line                                                                         NN NNS                                              1D Collection of String                           
checksum                                                                          checksum                                                                          NN                                                  Checksum                                          
checksum crc32                                                                    checksum crc32                                                                    NN NN                                               long                                              
copy file                                                                         copy file                                                                         NN NN                                               long                                              
size of                                                                           size of                                                                           NN IN                                               long                                              
size of0                                                                          size of0                                                                          NN NN                                               long                                              
size of directory                                                                 size of directory                                                                 NN IN NN                                            long                                              
size of directory0                                                                size of directory0                                                                NN IN NN                                            long                                              
line iterator                                                                     line iterator                                                                     NN NN                                               LineIterator                                      
