id     signature                                                                                             identifier                                                                                            splitted_identifier                                                                                   lemma                                               posta  FK_dt
-----  ----------------------------------------------------------------------------------------------------  ----------------------------------------------------------------------------------------------------  ----------------------------------------------------------------------------------------------------  --------------------------------------------------  -----  -----
1      boolean equals(java.lang.Object)                                                                      equals                                                                                                equals                                                                                                equal                                               VBZ    1    
2      int get(int)                                                                                          get                                                                                                   get                                                                                                   get                                                 VB     3    
3      int hashCode()                                                                                        hashCode                                                                                              hash code                                                                                             hash code                                           VB NN  3    
4      int length()                                                                                          length                                                                                                length                                                                                                length                                              NN     3    
5      java.lang.String toString()                                                                           toString                                                                                              to string                                                                                             to string                                           TO VB  4    
6      java.lang.reflect.Array getBytes()                                                                    getBytes                                                                                              get bytes                                                                                             get byte                                            VB NN  5    
7      java.nio.charset.Charset toCharset(java.lang.String)                                                  toCharset                                                                                             to charset                                                                                            to charset                                          TO VB  6    
8      java.nio.charset.Charset toCharset(java.nio.charset.Charset)                                          toCharset                                                                                             to charset                                                                                            to charset                                          TO VB  6    
9      java.util.SortedMap requiredCharsets()                                                                requiredCharsets                                                                                      required charsets                                                                                     require charset                                     VBN N  7    
10     java.lang.reflect.Array sort(java.io.File[])                                                          sort                                                                                                  sort                                                                                                  sort                                                NN     8    
11     java.util.List sort(java.util.List)                                                                   sort                                                                                                  sort                                                                                                  sort                                                NN     9    
12     int compare(java.io.File,java.io.File)                                                                compare                                                                                               compare                                                                                               compare                                             VB     3    
13     int getType(java.io.File)                                                                             getType                                                                                               get type                                                                                              get type                                            VB NN  3    
14     int copy(java.io.InputStream,java.io.OutputStream)                                                    copy                                                                                                  copy                                                                                                  copy                                                NN     3    
15     int copy(java.io.Reader,java.io.Writer)                                                               copy                                                                                                  copy                                                                                                  copy                                                NN     3    
16     void copy(byte[],java.io.OutputStream)                                                                copy                                                                                                  copy                                                                                                  copy                                                NN     15   
17     void copy(byte[],java.io.Writer)                                                                      copy                                                                                                  copy                                                                                                  copy                                                NN     15   
18     void copy(byte[],java.io.Writer,java.lang.String)                                                     copy                                                                                                  copy                                                                                                  copy                                                NN     15   
19     void copy(java.io.InputStream,java.io.Writer)                                                         copy                                                                                                  copy                                                                                                  copy                                                NN     15   
20     void copy(java.io.InputStream,java.io.Writer,java.lang.String)                                        copy                                                                                                  copy                                                                                                  copy                                                NN     15   
21     void copy(java.io.Reader,java.io.OutputStream)                                                        copy                                                                                                  copy                                                                                                  copy                                                NN     15   
22     void copy(java.io.Reader,java.io.OutputStream,java.lang.String)                                       copy                                                                                                  copy                                                                                                  copy                                                NN     15   
23     void copy(java.lang.String,java.io.OutputStream)                                                      copy                                                                                                  copy                                                                                                  copy                                                NN     15   
24     void copy(java.lang.String,java.io.OutputStream,java.lang.String)                                     copy                                                                                                  copy                                                                                                  copy                                                NN     15   
25     void copy(java.lang.String,java.io.Writer)                                                            copy                                                                                                  copy                                                                                                  copy                                                NN     15   
26     boolean handleDirectory(java.io.File,int,java.util.Collection)                                        handleDirectory                                                                                       handle directory                                                                                      handle directory                                    VB NN  1    
27     boolean handleIsCancelled(java.io.File,int,java.util.Collection)                                      handleIsCancelled                                                                                     handle is cancelled                                                                                   handle be cancel                                    VB VB  1    
28     java.lang.reflect.Array filterDirectoryContents(java.io.File,int,java.io.File[])                      filterDirectoryContents                                                                               filter directory contents                                                                             filter directory contents                           NN NN  8    
29     void checkIfCancelled(java.io.File,int,java.util.Collection)                                          checkIfCancelled                                                                                      check if cancelled                                                                                    check if cancel                                     NN IN  15   
30     void handleCancelled(java.io.File,java.util.Collection,org.apache.commons.io.DirectoryWalker$CancelE  handleCancelled                                                                                       handle cancelled                                                                                      handle cancel                                       VB VB  15   
31     void handleDirectoryEnd(java.io.File,int,java.util.Collection)                                        handleDirectoryEnd                                                                                    handle directory end                                                                                  handle directory end                                VB NN  15   
32     void handleDirectoryStart(java.io.File,int,java.util.Collection)                                      handleDirectoryStart                                                                                  handle directory start                                                                                handle directory start                              VB NN  15   
33     void handleEnd(java.util.Collection)                                                                  handleEnd                                                                                             handle end                                                                                            handle end                                          VB NN  15   
34     void handleFile(java.io.File,int,java.util.Collection)                                                handleFile                                                                                            handle file                                                                                           handle file                                         VB NN  15   
35     void handleRestricted(java.io.File,int,java.util.Collection)                                          handleRestricted                                                                                      handle restricted                                                                                     handle restricted                                   VB JJ  15   
36     void handleStart(java.io.File,java.util.Collection)                                                   handleStart                                                                                           handle start                                                                                          handle start                                        VB NN  15   
37     void walk(java.io.File,int,java.util.Collection)                                                      walk                                                                                                  walk                                                                                                  walk                                                NN     15   
38     void walk(java.io.File,java.util.Collection)                                                          walk                                                                                                  walk                                                                                                  walk                                                NN     15   
39     double readSwappedDouble(byte[],int)                                                                  readSwappedDouble                                                                                     read swapped double                                                                                   read swap double                                    VB VB  18   
40     double readSwappedDouble(java.io.InputStream)                                                         readSwappedDouble                                                                                     read swapped double                                                                                   read swap double                                    VB VB  18   
41     double swapDouble(double)                                                                             swapDouble                                                                                            swap double                                                                                           swap double                                         NN RB  18   
42     float readSwappedFloat(byte[],int)                                                                    readSwappedFloat                                                                                      read swapped float                                                                                    read swap float                                     VB VB  19   
43     float readSwappedFloat(java.io.InputStream)                                                           readSwappedFloat                                                                                      read swapped float                                                                                    read swap float                                     VB VB  19   
44     float swapFloat(float)                                                                                swapFloat                                                                                             swap float                                                                                            swap float                                          NN NN  19   
45     int read(java.io.InputStream)                                                                         read                                                                                                  read                                                                                                  read                                                VB     3    
46     int readSwappedInteger(byte[],int)                                                                    readSwappedInteger                                                                                    read swapped integer                                                                                  read swap integer                                   VB VB  3    
47     int readSwappedInteger(java.io.InputStream)                                                           readSwappedInteger                                                                                    read swapped integer                                                                                  read swap integer                                   VB VB  3    
