id     identifier                                          splitted_identifier                                 lemma                                               postag                FK_dtid  FK_mid
-----  --------------------------------------------------  --------------------------------------------------  --------------------------------------------------  --------------------  -------  ------
1      obj                                                 obj                                                 obj                                                 NN                    2        1     
2      pos                                                 pos                                                 po                                                  NNS                   3        2     
3      charset                                             charset                                             charset                                             NN                    4        7     
4      charset                                             charset                                             charset                                             NN                    6        8     
5      files                                               files                                               file                                                NNS                   8        10    
6      files                                               files                                               file                                                NNS                   9        11    
7      file1                                               file1                                               file1                                               NN                    10       12    
8      file2                                               file2                                               file2                                               NN                    10       12    
9      file1                                               file1                                               file1                                               NN                    10       12    
10     file2                                               file2                                               file2                                               NN                    10       12    
11     file1                                               file1                                               file1                                               NN                    10       12    
12     file2                                               file2                                               file2                                               NN                    10       12    
13     file                                                file                                                file                                                NN                    10       13    
14     file1                                               file1                                               file1                                               NN                    10       12    
15     file2                                               file2                                               file2                                               NN                    10       12    
16     file1                                               file1                                               file1                                               NN                    10       12    
17     file2                                               file2                                               file2                                               NN                    10       12    
18     file1                                               file1                                               file1                                               NN                    10       12    
19     file2                                               file2                                               file2                                               NN                    10       12    
20     file1                                               file1                                               file1                                               NN                    10       12    
21     file2                                               file2                                               file2                                               NN                    10       12    
22     file1                                               file1                                               file1                                               NN                    10       12    
23     file2                                               file2                                               file2                                               NN                    10       12    
24     file1                                               file1                                               file1                                               NN                    10       12    
25     file2                                               file2                                               file2                                               NN                    10       12    
26     input                                               input                                               input                                               NN                    11       14    
27     output                                              output                                              output                                              NN                    12       14    
28     input                                               input                                               input                                               NN                    13       15    
29     output                                              output                                              output                                              NN                    14       15    
30     input                                               input                                               input                                               NN                    5        16    
31     output                                              output                                              output                                              NN                    12       16    
32     input                                               input                                               input                                               NN                    5        17    
33     output                                              output                                              output                                              NN                    14       17    
34     input                                               input                                               input                                               NN                    5        18    
35     output                                              output                                              output                                              NN                    14       18    
36     encoding                                            encoding                                            encode                                              VBG                   4        18    
37     input                                               input                                               input                                               NN                    11       19    
38     output                                              output                                              output                                              NN                    14       19    
39     input                                               input                                               input                                               NN                    11       20    
40     output                                              output                                              output                                              NN                    14       20    
41     encoding                                            encoding                                            encode                                              VBG                   4        20    
42     input                                               input                                               input                                               NN                    13       21    
43     output                                              output                                              output                                              NN                    12       21    
44     input                                               input                                               input                                               NN                    13       22    
45     output                                              output                                              output                                              NN                    12       22    
